"%s already exist","%s already exist"
"%s already exists","%s already exists"
"Please enter a valid credit card number.","Please enter a valid credit card number."
"Please enter a valid date.","Please enter a valid date."
"Please enter a valid email address. For example johndoe@domain.com.","Please enter a valid email address. For example johndoe@domain.com."
"Please enter a valid number in this field.","Please enter a valid number in this field."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890."
"Please enter a valid social security number. For example 123-45-6789.","Please enter a valid social security number. For example 123-45-6789."
"Please enter a valid zip code.","Please enter a valid zip code."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Please enter a valid zip code. For example 90602 or 90602-1234."
"Please enter valid password.","Please enter valid password."
"Please make sure your passwords match.","Please make sure your passwords match."
"Please select State/Province.","Please select State/Province."
"Please select an option.","Please select an option."
"Please select one of the above options.","Please select one of the above options."
"Please select one of the options.","Please select one of the options."
"Please use letters only (a-z) in this field.","Please use letters only (a-z) in this field."
"Please use numbers only in this field. please avoid spaces or other characters such as dots or commas.","Please use numbers only in this field. please avoid spaces or other characters such as dots or commas."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field."
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006."
"Please wait, loading...","Please wait, loading..."
"Port","Port"
"Port (25)","Port (25)"
"Profiler","Profiler"
"Protocol","Protocol"
"Request path for specified store","Request path for specified store"
"Resource is not set","Resource is not set"
"SMTP settings (Windows server only)","SMTP settings (Windows server only)"
"Sales representative","Sales representative"
"Secure","Secure"
"Select Store","Select Store"
"Sender email","Sender email"
"Sender name","Sender name"
"Service","Service"
"Session files directory","Session files directory"
"Skin (Images / CSS)","Skin (Images / CSS)"
"Skin base url","Skin base url"
"Skin directory","Skin directory"
"Start Time","Start Time"
"Store Email Addresses","Store Email Addresses"
"System","System"
"Template directory","Template directory"
"Templates","Templates"
"Themes","Themes"
"This is a required field.","This is a required field."
"Timezone","Timezone"
"Translactions directory","Translactions directory"
"Translations","Translations"
"URLs","URLs"
"Unsecure","Unsecure"
"Upload directory","Upload directory"
"Upload files URL","Upload files URL"
"Use relative paths in links","Use relative paths in links"
"Validate config checksums","Validate config checksums"
"Var (temporary files) directory","Var (temporary files) directory"
"Web","Web"
"Web tracking","Web tracking"
"Wrong number of arguments for %s","Wrong number of arguments for %s"
